CMDLINE C:\Python39\python.exe main_noplayer.py
MEM 1.738281 1671323128.2430
MEM 16.585938 1671323128.3537
MEM 28.507812 1671323128.4654
MEM 41.312500 1671323128.5771
MEM 51.128906 1671323128.6848
MEM 60.531250 1671323128.7956
MEM 71.644531 1671323128.9073
MEM 85.683594 1671323129.0192
MEM 91.941406 1671323129.1305
MEM 91.941406 1671323129.2401
MEM 91.941406 1671323129.3486
MEM 91.941406 1671323129.4579
MEM 91.941406 1671323129.5696
MEM 91.941406 1671323129.6798
MEM 91.941406 1671323129.7895
MEM 91.941406 1671323129.9012
MEM 91.941406 1671323130.0129
MEM 91.941406 1671323130.1240
MEM 91.941406 1671323130.2348
MEM 91.941406 1671323130.3465
MEM 91.941406 1671323130.4535
MEM 91.941406 1671323130.5629
MEM 91.941406 1671323130.6746
MEM 91.941406 1671323130.7824
MEM 91.941406 1671323130.8929
MEM 91.941406 1671323131.0017
MEM 91.941406 1671323131.1121
MEM 91.941406 1671323131.2212
MEM 91.941406 1671323131.3292
MEM 91.941406 1671323131.4381
MEM 91.941406 1671323131.5486
MEM 91.941406 1671323131.6574
MEM 91.941406 1671323131.7665
MEM 91.941406 1671323131.8755
MEM 91.941406 1671323131.9841
MEM 91.941406 1671323132.0937
MEM 91.941406 1671323132.2026
MEM 91.941406 1671323132.3111
MEM 91.941406 1671323132.4201
MEM 91.941406 1671323132.5352
MEM 91.941406 1671323132.6390
MEM 91.941406 1671323132.7488
MEM 91.941406 1671323132.8597
MEM 91.941406 1671323132.9700
MEM 88.226562 1671323133.0791
MEM 89.191406 1671323133.1886
MEM 94.390625 1671323133.2988
MEM 99.972656 1671323133.4078
MEM 105.523438 1671323133.5192
MEM 109.753906 1671323133.6309
MEM 114.367188 1671323133.7426
MEM 119.601562 1671323133.8543
MEM 125.089844 1671323133.9643
MEM 128.441406 1671323134.0750
MEM 133.464844 1671323134.1856
MEM 133.476562 1671323134.2963
MEM 133.492188 1671323134.4072
MEM 133.523438 1671323134.5159
MEM 133.539062 1671323134.6256
MEM 133.539062 1671323134.7353
MEM 133.539062 1671323134.8451
MEM 133.546875 1671323134.9518
MEM 133.550781 1671323135.0615
MEM 133.550781 1671323135.1712
MEM 133.550781 1671323135.2789
MEM 133.550781 1671323135.3891
MEM 133.550781 1671323135.4978
MEM 133.554688 1671323135.6067
MEM 133.558594 1671323135.7170
MEM 133.566406 1671323135.8257
MEM 133.574219 1671323135.9364
MEM 133.578125 1671323136.0469
MEM 133.578125 1671323136.1558
MEM 133.578125 1671323136.2645
MEM 133.578125 1671323136.3742
MEM 133.578125 1671323136.4849
MEM 133.578125 1671323136.5946
MEM 133.578125 1671323136.7023
MEM 133.578125 1671323136.8130
MEM 133.578125 1671323136.9237
MEM 133.582031 1671323137.0334
MEM 133.585938 1671323137.1422
MEM 133.582031 1671323137.2509
MEM 133.582031 1671323137.3605
MEM 133.582031 1671323137.4706
MEM 133.585938 1671323137.5814
MEM 133.585938 1671323137.6920
MEM 133.609375 1671323137.8037
MEM 133.609375 1671323137.9134
MEM 133.609375 1671323138.0231
MEM 133.613281 1671323138.1328
MEM 133.613281 1671323138.2416
MEM 133.613281 1671323138.3523
MEM 133.613281 1671323138.4620
MEM 133.636719 1671323138.5726
MEM 133.652344 1671323138.6833
MEM 133.652344 1671323138.7942
MEM 133.652344 1671323138.9034
MEM 133.664062 1671323139.0151
MEM 133.664062 1671323139.1248
MEM 133.664062 1671323139.2366
MEM 133.664062 1671323139.3453
MEM 133.664062 1671323139.4570
MEM 133.664062 1671323139.5667
MEM 133.664062 1671323139.6764
MEM 133.664062 1671323139.7871
MEM 133.664062 1671323139.8983
MEM 133.664062 1671323140.0070
MEM 133.664062 1671323140.1178
MEM 133.664062 1671323140.2295
MEM 133.664062 1671323140.3392
MEM 133.687500 1671323140.4494
MEM 133.687500 1671323140.5596
MEM 133.714844 1671323140.6703
MEM 133.714844 1671323140.7820
MEM 133.714844 1671323140.8927
MEM 133.718750 1671323141.0044
MEM 133.718750 1671323141.1151
MEM 133.718750 1671323141.2288
MEM 133.738281 1671323141.3355
MEM 133.738281 1671323141.4452
MEM 133.738281 1671323141.5552
MEM 133.738281 1671323141.6651
MEM 133.738281 1671323141.7768
MEM 133.738281 1671323141.8865
MEM 133.738281 1671323141.9977
MEM 133.738281 1671323142.1084
MEM 133.738281 1671323142.2191
MEM 133.738281 1671323142.3358
MEM 133.738281 1671323142.4395
MEM 133.738281 1671323142.5502
MEM 133.738281 1671323142.6609
MEM 133.738281 1671323142.7726
MEM 133.738281 1671323142.8823
MEM 133.738281 1671323142.9980
MEM 135.968750 1671323143.1017
MEM 135.968750 1671323143.2123
MEM 135.968750 1671323143.3222
MEM 135.968750 1671323143.4314
MEM 135.968750 1671323143.5411
MEM 135.968750 1671323143.6510
MEM 135.968750 1671323143.7602
MEM 135.968750 1671323143.8719
MEM 135.968750 1671323143.9826
MEM 135.968750 1671323144.0943
MEM 135.968750 1671323144.2050
MEM 135.968750 1671323144.3147
MEM 135.968750 1671323144.4244
MEM 135.968750 1671323144.5341
MEM 135.968750 1671323144.6423
MEM 135.968750 1671323144.7519
MEM 135.968750 1671323144.8616
MEM 135.968750 1671323144.9733
MEM 135.968750 1671323145.0830
MEM 135.968750 1671323145.1958
MEM 135.968750 1671323145.3025
MEM 135.968750 1671323145.4142
MEM 135.968750 1671323145.5239
MEM 135.968750 1671323145.6336
MEM 135.968750 1671323145.7423
MEM 135.968750 1671323145.8540
MEM 135.968750 1671323145.9657
MEM 135.968750 1671323146.0749
MEM 135.968750 1671323146.1841
MEM 135.968750 1671323146.2959
MEM 135.968750 1671323146.4056
MEM 135.968750 1671323146.5163
MEM 135.968750 1671323146.6255
MEM 135.968750 1671323146.7342
MEM 135.968750 1671323146.8459
MEM 135.968750 1671323146.9546
MEM 135.968750 1671323147.0623
MEM 135.968750 1671323147.1730
MEM 135.968750 1671323147.3077
MEM 135.968750 1671323147.4094
MEM 135.968750 1671323147.5201
MEM 135.968750 1671323147.6341
MEM 135.968750 1671323147.7399
MEM 135.968750 1671323147.8496
MEM 135.968750 1671323147.9593
MEM 135.968750 1671323148.0680
MEM 135.968750 1671323148.1777
MEM 135.968750 1671323148.2875
MEM 135.968750 1671323148.3958
MEM 135.968750 1671323148.5046
MEM 135.968750 1671323148.6139
MEM 135.968750 1671323148.7280
MEM 135.968750 1671323148.8337
MEM 135.968750 1671323148.9435
MEM 135.968750 1671323149.0542
MEM 135.968750 1671323149.1634
MEM 135.968750 1671323149.2711
MEM 135.968750 1671323149.3808
