CMDLINE C:\Python39\python.exe main.py
MEM 1.765625 1671224824.9598
MEM 21.824219 1671224825.0670
MEM 38.234375 1671224825.1767
MEM 50.785156 1671224825.2875
MEM 76.910156 1671224825.3992
MEM 81.074219 1671224825.5089
MEM 89.199219 1671224825.6206
MEM 89.199219 1671224825.7323
MEM 89.199219 1671224825.8440
MEM 89.199219 1671224825.9557
MEM 89.199219 1671224826.0674
MEM 89.199219 1671224826.1791
MEM 89.203125 1671224826.2898
MEM 89.203125 1671224826.4015
MEM 89.203125 1671224826.5125
MEM 89.250000 1671224826.6234
MEM 89.250000 1671224826.7341
MEM 89.250000 1671224826.8456
MEM 89.250000 1671224826.9573
MEM 89.250000 1671224827.0676
MEM 89.250000 1671224827.1761
MEM 89.250000 1671224827.2862
MEM 89.250000 1671224827.3946
MEM 89.250000 1671224827.5049
MEM 89.250000 1671224827.6133
MEM 89.250000 1671224827.7233
MEM 89.250000 1671224827.8348
MEM 89.250000 1671224827.9423
MEM 89.250000 1671224828.0508
MEM 89.250000 1671224828.1614
MEM 89.250000 1671224828.2685
MEM 89.250000 1671224828.3783
MEM 89.250000 1671224828.4880
MEM 89.250000 1671224828.5960
MEM 89.250000 1671224828.7069
MEM 89.250000 1671224828.8171
MEM 89.250000 1671224828.9246
MEM 89.250000 1671224829.0329
MEM 89.250000 1671224829.1428
MEM 89.253906 1671224829.2519
MEM 89.253906 1671224829.3615
MEM 89.253906 1671224829.4714
MEM 89.253906 1671224829.5808
MEM 89.253906 1671224829.6893
MEM 89.257812 1671224829.7976
MEM 89.253906 1671224829.9083
MEM 89.253906 1671224830.0200
MEM 89.253906 1671224830.1310
MEM 89.253906 1671224830.2399
MEM 89.253906 1671224830.3516
MEM 89.253906 1671224830.4633
MEM 89.253906 1671224830.5750
MEM 89.253906 1671224830.6863
MEM 89.277344 1671224830.7945
MEM 89.277344 1671224830.9047
MEM 89.277344 1671224831.0149
MEM 89.277344 1671224831.1256
MEM 89.277344 1671224831.2373
MEM 89.277344 1671224831.3490
MEM 89.277344 1671224831.4597
